"WineNight","WineType","Person","WineNumber","Rating"
"JA1","Riesling","Jen",1,5
"JA1","Riesling","Ben",1,7
"JA1","Riesling","Molly",1,6
"JA1","Riesling","Rosemary",1,7
"JA1","Riesling","Amy",1,8
"JA1","Riesling","Chris",1,5
"JA1","Riesling","Ian",1,8.5
"JA1","Riesling","Kevin",1,8
"JA1","Riesling","Andy",1,7
"JA1","Riesling","Jen",2,8
"JA1","Riesling","Ben",2,7.5
"JA1","Riesling","Molly",2,7
"JA1","Riesling","Rosemary",2,8
"JA1","Riesling","Amy",2,8
"JA1","Riesling","Chris",2,7
"JA1","Riesling","Ian",2,8
"JA1","Riesling","Kevin",2,7
"JA1","Riesling","Andy",2,7
"JA1","Riesling","Jen",3,8
"JA1","Riesling","Ben",3,9
"JA1","Riesling","Molly",3,8
"JA1","Riesling","Rosemary",3,8
"JA1","Riesling","Amy",3,7.75
"JA1","Riesling","Chris",3,8
"JA1","Riesling","Ian",3,7
"JA1","Riesling","Kevin",3,6.5
"JA1","Riesling","Andy",3,7
"JA1","Riesling","Jen",4,8.5
"JA1","Riesling","Ben",4,6.5
"JA1","Riesling","Molly",4,6
"JA1","Riesling","Rosemary",4,7
"JA1","Riesling","Amy",4,9
"JA1","Riesling","Chris",4,7.5
"JA1","Riesling","Ian",4,7
"JA1","Riesling","Kevin",4,7.5
"JA1","Riesling","Andy",4,7
"JA1","Riesling","Jen",5,9
"JA1","Riesling","Ben",5,7
"JA1","Riesling","Molly",5,6.5
"JA1","Riesling","Rosemary",5,9
"JA1","Riesling","Amy",5,7
"JA1","Riesling","Chris",5,7
"JA1","Riesling","Ian",5,7
"JA1","Riesling","Kevin",5,5
"JA1","Riesling","Andy",5,9
"JA1","Riesling","Jen",6,7
"JA1","Riesling","Ben",6,5
"JA1","Riesling","Molly",6,4
"JA1","Riesling","Rosemary",6,6
"JA1","Riesling","Amy",6,8
"JA1","Riesling","Chris",6,6
"JA1","Riesling","Ian",6,7
"JA1","Riesling","Kevin",6,8
"JA1","Riesling","Andy",6,6
"JA1","Riesling","Jen",7,8
"JA1","Riesling","Ben",7,5
"JA1","Riesling","Molly",7,6.5
"JA1","Riesling","Rosemary",7,7
"JA1","Riesling","Amy",7,8
"JA1","Riesling","Chris",7,6.5
"JA1","Riesling","Ian",7,7.5
"JA1","Riesling","Kevin",7,8
"JA1","Riesling","Andy",7,8
"JA1","Riesling","Jen",8,4
"JA1","Riesling","Ben",8,3
"JA1","Riesling","Molly",8,2
"JA1","Riesling","Rosemary",8,5
"JA1","Riesling","Amy",8,6
"JA1","Riesling","Chris",8,6.5
"JA1","Riesling","Ian",8,6
"JA1","Riesling","Kevin",8,10
"JA1","Riesling","Andy",8,5
"JA1","Riesling","Jen",9,4
"JA1","Riesling","Ben",9,2
"JA1","Riesling","Molly",9,6
"JA1","Riesling","Rosemary",9,5
"JA1","Riesling","Amy",9,3
"JA1","Riesling","Chris",9,6.5
"JA1","Riesling","Ian",9,8
"JA1","Riesling","Kevin",9,3
"JA1","Riesling","Andy",9,3
"KR1","Pinot Grigio","Kevin",1,8
"KR1","Pinot Grigio","Amy",1,7.5
"KR1","Pinot Grigio","Chris",1,7.5
"KR1","Pinot Grigio","Rosemary",1,8
"KR1","Pinot Grigio","Andy",1,8.5
"KR1","Pinot Grigio","Jen",1,8
"KR1","Pinot Grigio","Ben",1,7
"KR1","Pinot Grigio","Molly",1,6
"KR1","Pinot Grigio","Kevin",2,6
"KR1","Pinot Grigio","Amy",2,5.5
"KR1","Pinot Grigio","Chris",2,7
"KR1","Pinot Grigio","Rosemary",2,6.5
"KR1","Pinot Grigio","Andy",2,9
"KR1","Pinot Grigio","Jen",2,5
"KR1","Pinot Grigio","Ben",2,5
"KR1","Pinot Grigio","Molly",2,6
"KR1","Pinot Grigio","Kevin",3,5.5
"KR1","Pinot Grigio","Amy",3,6.5
"KR1","Pinot Grigio","Chris",3,7
"KR1","Pinot Grigio","Rosemary",3,6
"KR1","Pinot Grigio","Andy",3,5
"KR1","Pinot Grigio","Jen",3,6.5
"KR1","Pinot Grigio","Ben",3,7
"KR1","Pinot Grigio","Molly",3,6
"KR1","Pinot Grigio","Kevin",4,5.5
"KR1","Pinot Grigio","Amy",4,5
"KR1","Pinot Grigio","Chris",4,6.5
"KR1","Pinot Grigio","Rosemary",4,6
"KR1","Pinot Grigio","Andy",4,4
"KR1","Pinot Grigio","Jen",4,8
